"","ResponseId","Q49_1","Q2_1","Q3_1","Q3_2","Q3_3","Q3_4","Q3_5","Q3_6","Q3_7","Q3_8","Q3_9","Q3_10","Q5","Q8","Q9","Race","Best_Way_to_hear","Aquatic Interest","Art Interest","Game Night Interest","Fitness Class Interest","Intramural Sports Interst","Programs Interest","Q14","How Hear"
"674","R_OvYNaF58TMYB9ZL","4","1","16",NA,NA,NA,NA,NA,NA,NA,NA,"0","No","More than 115,999","No","White","Text ,Brochure ,Calendar","Water Fitness","Painting ,Jewelry Making","Board Games ,Card Games","Yoga ,Pilates","Badminton ,Pickleball","Golf simulator ,Guided hikes","Very familiar","Email,Word of Mouth,Through Community Involvement"
"675","R_3EbzE0xtkbZzZEq","5","1","18","14",NA,NA,NA,NA,NA,NA,NA,NA,"No","104,000-115,999","No","White","Email ,Text ,Mail","Lifeguard Programs ,Rec Lap Swim ,Rec Open Swim ,Water Fitness ,Paddleboard Yoga","Painting ,Drawing ,Jewelry Making ,Lettering","Board Games ,Card Games","Circuit training ,Yoga ,Pilates","Basketball ,Volleyball ,Badminton ,Pickleball ,Tennis","Golf simulator ,Guided hikes","Very familiar","Email,Mail,Word of Mouth,Facebook"
"676","R_1jMTc12KNDFIKPt","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","White","Brochure ,Calendar","None of the above","None of the above","Card Games","Yoga","Volleyball ,Pickleball ,Other:","Golf simulator ,Cooking classes ,Guided hikes","Moderately familiar","Mail,Other"
"677","R_shcrnaBpjnkO2hX","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","White","Email ,Text","Traditional Swim Lessons ,Rec Open Swim ,Water Fitness","Painting","Board Games","Circuit training ,Boot camp ,Yoga ,Pilates","Indoor soccer ,Tennis","Cooking classes ,Guided hikes","Slightly familiar","Facebook"
"678","R_2aIUyudvqEljIZd","4","2","13","18",NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","Black or African American","Email","None of the above","None of the above","None of the above","Yoga ,Adult Ballet (or other dance)","None of the above","None of the above","Slightly familiar","Facebook"
"679","R_e8MxITymbVRoGiZ","2","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","104,000-115,999","No","White","Email ,Mail ,Brochure ,Calendar","None of the above","Jewelry Making ,Lettering","None of the above","Yoga ,Pilates ,Adult Ballet (or other dance)","Pickleball","Golf simulator ,Cooking classes ,Environmental habits (composting, home garden, bee-keeping)","Not familiar at all","I never hear about the programs"
"680","R_vUXoe1N4AMltLlT","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Email ,Mail ,Brochure","Rec Open Swim ,Water Fitness ,Paddleboard Yoga","Painting ,Jewelry Making ,Lettering","Board Games","Boot camp ,Yoga ,Pilates","Basketball ,Other:","Cooking classes ,Environmental habits (composting, home garden, bee-keeping)","Not familiar at all","I never hear about the programs"
"681","R_1mDaPz6rD2ZjjqF","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","White","Email","None of the above","Painting","None of the above","Yoga","None of the above","Environmental habits (composting, home garden, bee-keeping)","Not familiar at all","Through Community Involvement"
"682","R_sCh4RKoGdWkTAXf","4","2","13","16",NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Email ,Mail","Rec Open Swim ,Paddleboard Yoga","Drawing","None of the above","Boot camp ,Pilates","Volleyball","None of the above","Very familiar","Email,Word of Mouth"
"683","R_1ozpKGoagDQ5nt4","4","2","16","14",NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","Yes","Other","Email","Lifeguard Programs ,Rec Lap Swim ,Rec Open Swim ,Water Fitness","Painting","Board Games ,E-Games ,Card Games ,Chess","Circuit training ,Boot camp","Basketball ,Volleyball ,Indoor soccer ,Pickleball ,Tennis","Golf simulator ,Cooking classes","Moderately familiar","Word of Mouth"
"684","R_RrEdkavQ1fPJAUF","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","35,000-44,999","No","White","Email","Rec Lap Swim ,Water Fitness","None of the above","Other:","Yoga ,Pilates","Pickleball","Cooking classes","Very familiar","Email,Word of Mouth,Through Community Involvement"
"685","R_3NDKp9JoCjLZ29f","2","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","65,000-103,999","No","White","Email","","","","Yoga","","","Very familiar","Through Community Involvement"
"686","R_12tA3q9U7qOUWZ0","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Less than 26,000","No","White","Email ,Text ,Calendar","None of the above","None of the above","Board Games ,Other:","None of the above","None of the above","Golf simulator ,Cooking classes","Not familiar at all","Through Community Involvement"
"687","R_YST76jUzNeR5aJX","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","104,000-115,999","No","White","Mail","Paddleboard Yoga","Painting ,Drawing ,Lettering","None of the above","Circuit training ,Boot camp ,Yoga ,Pilates ,Adult Ballet (or other dance)","Volleyball ,Badminton ,Indoor soccer ,Tennis","Environmental habits (composting, home garden, bee-keeping)","Not familiar at all","Facebook"
"688","R_3si9XM2r2k1Rl8n","3","2","16","13",NA,NA,NA,NA,NA,NA,NA,NA,"No","Less than 26,000","Yes","Other","Email","Other:","Other:","Board Games ,Card Games","Circuit training ,Boot camp ,Yoga","Other:","Golf simulator ,Cooking classes","Slightly familiar","Facebook"
"689","R_2xYqqKzhMe9eckO","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Don't Know","No","White_Black or African American","Other:","Water Fitness","None of the above","E-Games ,Card Games ,Chess","Circuit training ,Yoga","Basketball","Golf simulator ,Cooking classes","Slightly familiar","Word of Mouth,Facebook"
"690","R_3GxJp8fIqCIq1fL","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Brochure","Rec Open Swim","None of the above","Card Games","Circuit training ,Boot camp ,Yoga","Other:","Golf simulator ,Cooking classes ,Environmental habits (composting, home garden, bee-keeping)","Slightly familiar","Other"
